127.0.0.1 - - [29/Jan/2018:09:41:55 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:04 -0500] "GET /manager/html/ HTTP/1.1" 401 2536
0:0:0:0:0:0:0:1 - admin [29/Jan/2018:09:42:07 -0500] "GET /manager/html/ HTTP/1.1" 200 22087
0:0:0:0:0:0:0:1 - admin [29/Jan/2018:09:42:11 -0500] "POST /manager/html/undeploy;jsessionid=6C821EC7A6844754FF057E91536D0424?path=/labSuelos&org.apache.catalina.filters.CSRF_NONCE=EA947233411BC18AB9B02041BBAB747B HTTP/1.1" 200 18679
0:0:0:0:0:0:0:1 - admin [29/Jan/2018:09:42:31 -0500] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=476AE73B735C0033304FEB965CEF5815 HTTP/1.1" 200 20394
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:33 -0500] "GET /meteoro/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/includes/contents/main.xhtml HTTP/1.1" 200 11537
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/icepush.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?v=27532437 HTTP/1.1" 200 86397
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/bridge.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?v=27532437 HTTP/1.1" 200 122795
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/jsf.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=javax.faces&stage=Development&v=4685859 HTTP/1.1" 200 107637
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/util/combined.css.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=icefaces.ace HTTP/1.1" 200 73383
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/common.css.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=css HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/compat.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0 HTTP/1.1" 200 56232
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/util/ace-jquery.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=icefaces.ace HTTP/1.1" 200 760505
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/theme.css.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=ace-smoothness HTTP/1.1" 200 18458
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/util/ace-menu.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=icefaces.ace HTTP/1.1" 200 162942
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/util/ace-components.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0?ln=icefaces.ace HTTP/1.1" 200 294117
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml;jsessionid=B1014E67CC7B05C065A88DD40D7C72B0 HTTP/1.1" 200 484353
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/images/ui-icons_222222_256x240.png.xhtml?ln=ace-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/images/CABEZOTE-SIN-TITULO.png.xhtml HTTP/1.1" 200 33764
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/images/ui-bg_flat_75_ffffff_40x100.png.xhtml?ln=ace-smoothness HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:35 -0500] "GET /meteoro/javax.faces.resource/images/ui-icons_888888_256x240.png.xhtml?ln=ace-smoothness HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/includes/contents/fileUtilities.xhtml HTTP/1.1" 200 10539
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/javax.faces.resource/icepush.uncompressed.js.xhtml?v=27532437 HTTP/1.1" 200 86397
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=4685859 HTTP/1.1" 200 107637
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/javax.faces.resource/bridge.uncompressed.js.xhtml?v=27532437 HTTP/1.1" 200 122795
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 200 56232
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/javax.faces.resource/util/combined.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 73383
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:38 -0500] "GET /meteoro/javax.faces.resource/fileentry/fileEntry.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/theme.css.xhtml?ln=ace-smoothness HTTP/1.1" 200 18458
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/common.css.xhtml?ln=css HTTP/1.1" 200 2855
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/fileentry/fileEntry.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 14498
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/util/ace-menu.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 162942
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/util/ace-components.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 294117
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 200 484353
0:0:0:0:0:0:0:1 - - [29/Jan/2018:09:42:39 -0500] "GET /meteoro/javax.faces.resource/util/ace-jquery.uncompressed.js.xhtml?ln=icefaces.ace HTTP/1.1" 200 760505
