127.0.0.1 - - [13/Jul/2018:08:48:16 -0500] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:17 -0500] "GET /BMSFRIJOL/ HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 8145
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development&v=551623661 HTTP/1.1" 200 107637
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 200 122795
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/icepush.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 200 86397
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/compat.uncompressed.js.xhtml HTTP/1.1" 200 56232
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/icefaces-compat.uncompressed.js.xhtml HTTP/1.1" 200 484353
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap-theme.min.css.xhtml HTTP/1.1" 200 23438
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 200 22067
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/javax.faces.resource/bootstrap/css/bootstrap.min.css.xhtml HTTP/1.1" 200 121385
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/resources/images/frijol01.jpg HTTP/1.1" 200 925964
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:22 -0500] "GET /BMSFRIJOL/resources/images/ciat_Logo.png HTTP/1.1" 200 28976
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:34 -0500] "POST /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:45 -0500] "POST /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:47 -0500] "GET /BMSFRIJOL/include/contents/index.xhtml HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:47 -0500] "GET /BMSFRIJOL/javax.faces.resource/themes/sam/theme.css.xhtml?ln=icefaces.ace HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:47 -0500] "GET /BMSFRIJOL/javax.faces.resource/css/StyleIndex.css.xhtml HTTP/1.1" 200 6835
0:0:0:0:0:0:0:1 - - [13/Jul/2018:08:48:47 -0500] "GET /BMSFRIJOL/javax.faces.resource/bridge.uncompressed.js.xhtml?v=1188711848 HTTP/1.1" 304 -
